3, 1, 1000, 0
3, 2, 1000, 0
3, 3, 1000, 0
3, 4, 1000, 0
3, 5, 1000, 0
3, 6, 1000, 0
3, 7, 1000, 0
3, 8, 996, 4
3, 9, 989, 11
3, 10, 959, 41
3, 11, 947, 53
3, 12, 888, 112
3, 13, 853, 147
3, 14, 811, 189
3, 15, 742, 258
3, 16, 702, 298
3, 17, 620, 380
3, 18, 578, 422
3, 19, 498, 502
3, 20, 468, 532
3, 21, 400, 600
3, 22, 389, 611
3, 23, 322, 678
3, 24, 335, 665
3, 25, 285, 715
3, 26, 205, 795
3, 27, 209, 791
3, 28, 200, 800
3, 29, 157, 843
3, 30, 140, 860
3, 31, 136, 864
3, 32, 113, 887
3, 33, 90, 910
3, 34, 81, 919
3, 35, 68, 932
3, 36, 81, 919
3, 37, 67, 933
3, 38, 33, 967
3, 39, 29, 971
3, 40, 46, 954
3, 41, 32, 968
3, 42, 26, 974
3, 43, 29, 971
3, 44, 15, 985
3, 45, 20, 980
3, 46, 18, 982
3, 47, 13, 987
3, 48, 14, 986
3, 49, 7, 993
3, 50, 11, 989
3, 51, 8, 992
3, 52, 13, 987
3, 53, 9, 991
3, 54, 15, 985
3, 55, 6, 994
3, 56, 3, 997
3, 57, 1, 999
3, 58, 3, 997
3, 59, 3, 997
3, 60, 5, 995
4, 1, 1000, 0
4, 2, 1000, 0
4, 3, 1000, 0
4, 4, 1000, 0
4, 5, 1000, 0
4, 6, 1000, 0
4, 7, 1000, 0
4, 8, 1000, 0
4, 9, 1000, 0
4, 10, 999, 1
4, 11, 994, 6
4, 12, 988, 12
4, 13, 978, 22
4, 14, 952, 48
4, 15, 928, 72
4, 16, 902, 98
4, 17, 853, 147
4, 18, 811, 189
4, 19, 757, 243
4, 20, 692, 308
4, 21, 655, 345
4, 22, 615, 385
4, 23, 529, 471
4, 24, 500, 500
4, 25, 422, 578
4, 26, 396, 604
4, 27, 356, 644
4, 28, 335, 665
4, 29, 282, 718
4, 30, 225, 775
4, 31, 211, 789
4, 32, 229, 771
4, 33, 165, 835
4, 34, 163, 837
4, 35, 141, 859
4, 36, 133, 867
4, 37, 111, 889
4, 38, 95, 905
4, 39, 101, 899
4, 40, 84, 916
4, 41, 64, 936
4, 42, 60, 940
4, 43, 41, 959
4, 44, 43, 957
4, 45, 28, 972
4, 46, 26, 974
4, 47, 23, 977
4, 48, 25, 975
4, 49, 24, 976
4, 50, 30, 970
4, 51, 26, 974
4, 52, 16, 984
4, 53, 11, 989
4, 54, 12, 988
4, 55, 13, 987
4, 56, 4, 996
4, 57, 10, 990
4, 58, 4, 996
4, 59, 10, 990
4, 60, 7, 993
